Problem_Summary,Resolution,
There was a chargeoff reversal which generated an interest amount. There was also a payment on the same day which generated T,Ticket closed - Fixed data,
Total amount due in S does not match stament S. Do not try to fix this until we confirm it'd still an issue after the redesign project. Validation in progress,Ticket Closed - No longer an issue,
Statement posted for incorrect amount. F is also incorrect. Was not fixedin release. The system is creating funds applied to principal transactions for the wrong dollar amounts when a line if credit comes out of non-accural and the amount exceeds the loan balance. Vendor could recreate but out custom code is interfering,Ticket Moved to Research,
Can you please take a look at accounts. The A's were run and both were reversed. Neither A's show void.,Business Standard Procedure,
Account has two Bs that posted to the account with only one A. Normally when this happens one of the B's will reject and not post to the account. Do you know why this happened?,Business Standard Procedure,
S transactions are incorrect since date causing out of balance conditions in payment suspense.,Ticket closed - Fixed data,
Payoffs are rejecting and chargeoffs are rejecting due to gap not included in the batch payoff amount. Transaction amount not equal payoff for effective datte. Note that ticket that went in release was for a similar issue,Ticket Moved to Research,
Receive error when click opoen dashboard from the oppurtunity on this account. Error not received when accessing account through search function. See attached for account details.,Ticket will be tracked,
Team has decided that a limit on the number of apps that can be retrieved from archive in one overnight batch because in one or two day time period the user requested thounsands of apps,Ticket Closed - No longer an issue,
Multiple accounts are not displayed in the related accounts section of dashboard screen. Accounts aredisplayed in both home and tent,Ticket will be tracked,
"Sat table date does not work when entering a new code that you want to date in the further. For example adding a code on date and making the effective datte as date, I am still able to use the code immediately. Team should not allow the code to be used until date. Discussed with team member and he provided logic and confirmed it does not work as we would expect it to work. See attached email.",Ticket closed - Software Install,
"System returns results where referral conditions are not met when filtering based on all conditions met not finalized on the locate documents. Transactions,events and letters search screen",Ticket will be tracked,
T transactions are causing differences in accounts. This is most often the amount but if the account had no amount then the interest amount is causing the difference and in a few cases it was both fields.,Ticket Moved to Research,
Issue with account. Account has seven months to end of day and negative balance. Currently a negative balance. The system is not allowing me to model with added money. Receiving error,Ticket will be tracked,
Time stamp on locate does not displaythe correct time. Go to locate and observe the time stamp for this transaction,Ticket will be tracked,
